SCHLAGWORT;UEBERSETZUNG
#B1713#Meldeanlage#Rauchwarnmelder über Hausnotruf;Brand Meldeanlage - Rauchwarnmelder über Hausnotruf
#B1715#Meldeanlage#Rauchwarnmelder;Brand Meldeanlage - Rauchwarnmelder
#I0110#Ausfall#Ausfall - Fahrzeugdefekt;Ausfall - Fahrzeugdefekt
#I0111#Ausfall#Ausfall - Gerätedefekt;Ausfall - Gerätedefekt
#I0112#Ausfall#Ausfall - Eigenunfall;Ausfall - Eigenunfall
#I0120#Ausfall#Ausfall - Planungsfehler;Ausfall - Planungsfehler
#I0121#Ausfall#Ausfall - Personalausfall RD-Personal;Ausfall - Personalausfall RD-Personal
#I0122#Ausfall#Ausfall - Personalverschulden;Ausfall - Personalverschulden
#I0130#Ausfall#Ausfall - Personalausfall Arzt;Ausfall - Personalausfall Arzt
#I0140#Ausfall#Ausfall - Witterung;Ausfall - Witterung
#I0150#Ausfall#Ausfall - Desinfektion;Ausfall - Desinfektion
#I1001#BMA#Abnahme BMA;Abnahme BMA
#I1201#Auskunft#Apothekenauskunft;Apothekenauskunft
#I1301#BMA#BMA Probe;BMA Probe
#I1302#BMA#BMA Störung;BMA Störung
#I1401#Benachrichtigung#Eigenunfall;Eigenunfall
#I1501#INF#Giftnotruf;Giftnotruf
#I1601#Benachrichtigung#Hochwassermeldung;Hochwassermeldung
#I1701#Auskunft#Vermittlung KVB-Arzt;Vermittlung KVB-Arzt
#I1801#Sonstiges#Luftbeobachtung;Luftbeobachtung
#I1901#Sonstiges#Öffentlichkeitsarbeit;Öffentlichkeitsarbeit
#I2001#Sonstiges#Probealarm;Probealarm
#I2101#Sonstiges#Sanitätsdienst;Sanitätsdienst
#I2201#Sonstiges#Sicherheitswache;Sicherheitswache
#I2301#Benachrichtigung#Unwetterwarnung;Unwetterwarnung
#I2401#Sonstiges#Verkehrssicherung;Verkehrssicherung
#I2501#Sonstiges#Wachbesetzung;Wachbesetzung
#I2601#Auskunft#Zahnarztnotdienst;Zahnarztnotdienst
#I9001#Info#An-Abmeldung von Geräten;An-Abmeldung von Geräten
#I9002#Info#Hilfeleistungskontingent Hochwasser / Sandsäcke;Hilfeleistungskontingent Hochwasser / Sandsäcke
#I9003#Info#Hilfeleistungskontingent Standard;Hilfeleistungskontingent Standard
#I9004#Info#Jodtablettenverteilung - KFall;Jodtablettenverteilung - KFall
#I9005#Info#Notarzt Dienstanmeldung;Notarzt Dienstanmeldung
#I9006#Info#Notrufmißbrauch;Notrufmißbrauch
#I9007#Info#Polizei Anfrage;Polizei Anfrage
#I9008#Info#Sonstige Anfrage;Sonstige Anfrage
#I9009#Info#Stickstoffverdampfer;Stickstoffverdampfer
#I9010#Info#Übung;Übung
#I9011#Info#Auftragsnummer;Auftragsnummer
#I9012#Info#Behörde/Zweckverband Anfrage;Behörde/Zweckverband Anfrage
#I9013#Info#Bewegungsfahrt;Bewegungsfahrt
#I9014#Info#Einsatznachbearbeitung FW und RD;Einsatznachbearbeitung FW und RD
#I9015#Info#Feuerwehr/THW Anfrage;Feuerwehr/THW Anfrage
#I9016#Info#Fremdfahrzeuge;Fremdfahrzeuge
#I9017#Info#Kreisverband/Hilfsorganisastioen Anfrage;Kreisverband/Hilfsorganisastioen Anfrage
#I9018#Info#Besetzung der Kreiseinsatzzentrale;Besetzung der Kreiseinsatzzentrale
#I9019#Info#Reklamation Rettungsdienst;Reklamation Rettungsdienst
#I9020#Info#An-Abmeldung Nutzfeuer;An-Abmeldung Nutzfeuer
#I9021#Info#An-Abmeldung Klinik/Stationen;An-Abmeldung Klinik/Stationen
#I9022#Info#An-Abmeldung Patient;An-Abmeldung Patient
#I9023#Info#Warnen der Bevölkerung;Warnen der Bevölkerung
#I9024#Info#ILS Unterstützung;ILS Unterstützung
#S0201#Sonstige#Eingleisen;Eingleisen
#S0301#Sonstige#Hilfe/Sonstiges FW;Hilfe/Sonstiges FW
#S0501#Sonstige#Motorradstreife;Motorradstreife
#S0601#Sonstige#THW Bereitschaft;THW Bereitschaft
#S0701#Sonstige#Tragehilfe für den Rettungsdienst;Tragehilfe für den Rettungsdienst
#S0801#Sonstige#überörtlicher Einsatz;überörtlicher Einsatz
#S1001#PSNV#Betroffene;Betroffene
#S1002#PSNV#Einsatzkräfte;Einsatzkräfte
#T1010#Bombe / Amok#Amoklage;Amoklage
#T1110#klein#Einsatzstelle ausleuchten;Einsatzstelle ausleuchten klein
#T1210#Bombe / Amok#Bombendrohung;Bombendrohung
#T1310#Bombe / Amok#Bombenfund;Bombenfund
#T1410#klein#Erkundung;Erkundung klein
#T1510#RD#First Responder;First Responder
#T1610#Einsturz / Umsturz#Gebäude eingestürzt;Gebäude eingestürzt
#T1710#Tier#Rettung Großtier (z.B. Kuh, Pferd);Rettung Großtier (z.B. Kuh, Pferd)
#T1810#Rettung#Hubschrauberlandung sichern;Hubschrauberlandung sichern
#T1910#Rettung#Aufzug öffnen akut;Aufzug öffnen akut
#T2011#Absturz / Höhe#Person droht zu springen;Person droht zu springen
#T2012#Absturz / Höhe#Person absturzgefährdet;Person absturzgefährdet
#T2013#Absturz / Höhe#Person in Höhe;Person in Höhe
#T2014#Absturz / Höhe#Person aus Tiefe / Schacht;Person aus Tiefe / Schacht
#T2015#Absturz / Höhe#schwergewichtiger Patient;schwergewichtiger Patient
#T2016#Absturz / Höhe#Person auf Windrad / Kran;Person auf Windrad / Kran
#T2017#Absturz / Höhe#Paraglider/Fallschirm/Drachenflieger abgestürzt;Paraglider/Fallschirm/Drachenflieger abgestürzt
#T2110#VU#Person unter Straßenbahn;VU Person unter Straßenbahn
#T2111#VU#Straßenbahn;VU Straßenbahn
#T2210#Rettung#Person Stromunfall;Person Stromunfall
#T2310#VU#Person unter U-Bahn;VU Person unter U-Bahn
#T2311#Rettung#Person verschüttet / Tiefbauunfall;Person verschüttet / Tiefbauunfall
#T2312#Rettung#Person in Silo;Person in Silo
#T2410#Rettung#Wohnung öffnen akut;Wohnung öffnen akut
#T2411#Rettung#Fahrzeug öffnen akut;Fahrzeug öffnen akut
#T2510#VU#Person unter Zug;VU Person unter Zug
#T2511#VU#Person unter S-Bahn;VU Person unter S-Bahn
#T2512#VU#Person vom Zug erfasst;VU Person vom Zug erfasst
#T2610#RD#Drehleiter;Drehleiter
#T2710#klein#allgemein;allgemein klein
#T2711#klein#Baum auf Straße;Baum auf Straße klein
#T2712#klein#Baum auf Schiene;Baum auf Schiene klein
#T2713#klein#Dach räumen;Dach räumen klein
#T2714#klein#Fahrzeug öffnen;Fahrzeug öffnen klein
#T2715#klein#Fahrzeug sichern;Fahrzeug sichern klein
#T2716#klein#Wohnung öffnen;Wohnung öffnen klein
#T2717#klein#Gebäude sichern;Gebäude sichern klein
#T2718#klein#Gegenstand / Teil sichern;Gegenstand / Teil sichern klein
#T2719#klein#Straße reinigen;Straße reinigen klein
#T2720#klein#Straße überschwemmt;Straße überschwemmt klein
#T2721#klein#Wasser im Keller;Wasser im Keller klein
#T2722#klein#Wasser in Gebäude;Wasser in Gebäude klein
#T2723#RD#Unterstützung;Unterstützung RD
#T2724#Rettung#Personensuche;Personensuche
#T2725#VU#mit Motorrad;VU mit Motorrad
#T2726#VU#mit PKW;VU mit PKW
#T2727#Tier#Insekten (Gefahr für Personen);Insekten (Gefahr für Personen)
#T2728#Tier#Rettung Kleintier;Rettung Kleintier
#T2729#Tier#Bergung Kleintier;Bergung Kleintier
#T2730#Tier#Bergung Großtier (z.B. Kuh, Pferd);Bergung Großtier (z.B. Kuh, Pferd)
#T2731#Rettung#Waldunfall ohne eingeklemmte Person;Waldunfall ohne eingeklemmte Person
#T2732#klein#Verkehrslenkung;Verkehrslenkung klein
#T2810#VU#mehrere PKW;VU mehrere PKW
#T2811#VU#LKW / Bus (leer), ohne eingeklemmte Personen;VU LKW / Bus (leer), ohne eingeklemmte Personen
#T2910#Rettung#Person eingeklemmt (nicht VU);Person eingeklemmt (nicht VU)
#T2911#VU#1 oder 2 PKW, Person eingeklemmt;VU 1 oder 2 PKW, Person eingeklemmt
#T2912#VU#Bus (besetzt);VU Bus (besetzt)
#T2913#Einsturz / Umsturz#Gerüst umgestürzt;Gerüst umgestürzt
#T2914#Einsturz / Umsturz#Stromleitungsmast umgestürzt;Stromleitungsmast umgestürzt
#T2915#Einsturz / Umsturz#Kran umgestürzt;Kran umgestürzt
#T2916#Rettung#Waldunfall mit eingeklemmter Person;Waldunfall mit eingeklemmter Person
#T3010#VU#mehrere PKW, Personen eingeklemmt;VU mehrere PKW, Personen eingeklemmt
#T3011#VU#LKW / Bus (leer), Person eingeklemmt;VU LKW / Bus (leer), Person eingeklemmt
#T3110#VU#Massenkarambolage, Personen eingeklemmt;VU Massenkarambolage, Personen eingeklemmt
#T3111#VU#Bus besetzt mit eingeklemmten Personen;VU Bus besetzt mit eingeklemmten Personen
#T3112#VU#mehrere LKW mit eingeklemmten Personen;VU mehrere LKW mit eingeklemmten Personen
#T3210#klein#Hilfeleistung Straßenbahn;Hilfeleistung Straßenbahn klein
